# מילים שכבר באפליקציה — 520 מילים (עודכן 2026-07-12)
# אל תביא מילים מהרשימה הזו. חפש (Ctrl+F) את המילה התאית לפני שתוסיף.


## רמה 1
กล้วย	בננה
กลับ	לחזור
กลัว	לפחד
กอง	ערימה
กับ	עם
กา	עורב / קומקום
กิน	לאכול
กุ้ง	שרימפס
เกลียด	שונא
เก้า	תשע
โกรธ	כועס
ใกล้	קרוב (טון נמוך)
ไก่	תרנגול / עוף
ไกล	רחוק (טון גבוה)
ขม	מר
ขอ	אפשר לקבל...
ขาว	לבן
เข้า	להיכנס / כניסה
เขียน	לכתוב
คน	אדם / בן אדם
ครับ	מילת נימוס (גבר)
ค่ะ	מילת נימוס (אישה)
ค่าย	מחנה
คือ	זה / הוא (להגדרות)
เค็ม	מלוח
เคย	פעם / כבר עשיתי
งง	מבולבל
ง่วง	ישנוני
งาน	עבודה
งู	נחש
จะ	מילת עתיד
จาก	מ... (מקור)
จืด	תפל
เจ็ด	שבע
ใจ	לב / נפש
ช่วย	לעזור
ชอบ	לחבב / לאהוב
ชา	תה
ช้า	איטי
ชิม	לטעום
เช้า	בוקר
ใช่	כן
ดม	להריח
ดำ	שחור
ดี	טוב
ดื่ม	לשתות
ดู	לראות / לצפות
แดง	אדום
ตก	ליפול
ตลาด	שוק
ต่อ	להמשיך / להאריך
ตอบ	לענות
ตา	עין / סבא מצד אמא
ตื่น	להתעורר
เตี้ย	נמוך
แต่	אבל
ใต้	דרום / מתחת
ถาม	לשאול
ท้อง	בטן
ทำ	לעשות / להכין
เที่ยว	לטייל / לבלות
น้อง	אח/אחות צעירים
นอน	לישון
เนื้อ	בשר
บน	על (מעל)
บวก	פלוס
บาง	חלק מ..
เบียร์	בירה
เบื่อ	משעמם
ปลา	דג
ปู	סרטן
เป็น	להיות / לדעת לעשות
เปรี้ยว	חמוץ
แปด	שמונה
ไป	ללכת / לנסוע
ผอม	רזה
ผัด	מוקפץ
ผ้า	בד / בגד
ผึ้ง	דבורה
เผ็ด	חריף
พริก	צ
พ่อ	אבא
พัน	אלף
พี่	אח/אחות מבוגר/ת
พูด	לדבר
เพิ่ม	להוסיף
เพื่อน	חבר
แพง	יקר
ฟัง	להקשיב
มัน	שומני
มา	לבוא
มาก	מאוד
มี	יש / להיות בעל
มือ	יד
แม่	אמא
แมว	חתול
ยิ้ม	לחייך
เย็น	קר
รวม	ביחד
รอ	לחכות
ร้อน	חם
ร้อย	מאה
เร็ว	מהיר
เรียน	ללמוד
เรือ	סירה
โรง	מבנה / אולם / מקום
ลบ	מינוס
ลม	רוח / אוויר
ลอง	לנסות
ล้าน	מיליון
ลูก	ילד/בן
เล็ก	קטן
เล่น	לשחק
และ	ו...
สนุก	כיף
ส้ม	תפוז
สวย	יפה
สอง	שתיים
สอน	ללמד
สาม	שלוש
สิบ	עשר
สี	צבע
สี่	ארבע
สูง	גבוה
เสร็จ	לסיים
แสน	מאה אלף
หน้า	פנים / עונה / דף
หนาว	קר
หนึ่ง	אחד
หมวก	כובע
หม้อ	סיר
หมื่น	עשרת אלפים
หมู	חזיר
หล่อ	חתיך
หวาน	מתוק
หัว	ראש
หา	לחפש / למצוא
หาด	חוף
หิน	אבן
หิว	רעב
เหงา	בודד
เหงื่อ	זיעה
เห็น	רואה
เหนื่อย	עייף
เหล้า	אלכוהול / וויסקי
ใหญ่	גדול
ไหม	מילת שאלה (כן/לא)
ไหว้	לחלוק כבוד
อยู่	להיות / לגור
อาหาร	אוכל
อิ่ม	שבע (מאוכל)
อุ่น	חמים,חם
เอา	רוצה / לקחת

## רמה 2
กัน	אחד את השני / ביחד
ขับรถ	לנהוג
ขาย	למכור
ไข่	ביצה
ครู	מורה
คืน	לילה
ใคร	מי (או מי זה)
เงิน	כסף
จด	לרשום / לכתוב הערה
ชั่วโมง	שעה
ดาว	כוכב
เด็ก	ילד
เดือน	חודש
ถูก	זול/נכון
ทำงาน	לעבוד
นก	ציפור
นม	חלב
น้ำ	מים
บอก	להגיד / לספר
ปาก	פה
ปิด	לסגור / כבוי
ปี	שנה
เปิด	לפתוח / פתוח
ผัก	ירק
ฝน	גשם
ไฟ	אש / אור
มด	נמלה
เมือง	עיר
รถ	רכב / אוטו
ร้องเพลง	לשיר
รัก	לאהוב
ร้าน	חנות
วัน	יום
ว่ายน้ำ	לשחות
เสื้อ	חולצה
หก	שש
หมด	הכל נגמר / אזל
หมอ	רופא
หลง	ללכת לאיבוד
ห้อง	חדר
หอย	צדפה
อยาก	לרצות
ออก	לצאת
อาบ	להתרחץ
อีก	שוב (Again)

## רמה 3
กลับบ้าน	לחזור הביתה
กังวล	מודאג, חרד
กับข้าว	אוכל (שאוכלים עם אורז)
กาแฟ	קפה
เก่า	ישן
เกี่ยวกับ	בקשר ל / על
ขนม	חטיף
ขยะ	זבל
ข่าว	חדשות
ข้าว	אורז
ไข่เจียว	חביתה
ไข่ดาว	ביצת עין
ควร	כדאי / צריך
คิด	לחשוב
ง่วงนอน	ישנוני
จริง ๆ	באמת
จอง	להזמין מראש
จำ	לזכור
เจ้าของ	הבעלים
ใจดี	לב טוב
ชาวเผ่า	אנשי שבט
ชื่อจริง	שם אמיתי
ชื่อเล่น	כינוי
เช่นกัน	אותו הדבר / גם אני
เชื่อ	להאמין
โชคดี	בהצלחה
ซื้อ	לקנות
ด้วยกัน	יחדיו
ดีใจ	שמח
ได้	יכול / קיבל / אפשר
ตกใจ	מופתע / בהלם
ต้นไม้	צמח / עץ
ตลาดนัด	שוק
ต้อง	חייב / צריך
ตอนนี้	עכשיו
ต่อไป	הבא
ต่อย	אגרוף / לעקוץ
ตีหมา	להרביץ לכלב
ตื่นเต้น	מתרגש
ถ้า	אם
ทบทวน	לחזור (על חומר)
ที่นี่	פה
ทุกคน	כולם
ทุกที่	בכל מקום
ทุกวัน	כל יום
ทุกอย่าง	הכל
เท่า	שווה / באותה מידה
เท่ากับ	שווה
เท่าไร	כמה (מחיר)
นักเรียน	סטודנט / תלמיד
น่า	ראוי ל־ / נראה כ־
นาที	דקה
น่ารัก	חמוד
น้ำแข็ง	קרח
น้ำตก	מפל
น้ำตาล	סוכר
น้ำมัน	שמן / דלק
น้ำส้ม	מיץ תפוזים
นิดหน่อย	קצת
แน่ใจ	בטוח, משוכנע
แนะนำ	להמליץ, להציג
บางคน	חלק מהאנשים
บางที	לפעמים
บางวัน	חלק מהימים
บ้าน	בית
ประเทศ	מדינה
ประมาณ	בערך
ปลาหมึก	דיונון
ปัญหา	בעיה
ป่า	יער
ปากกา	עט
ไปเที่ยว	לטייל / להסתובב בכיף
ไปแล้ว	כבר הלכתי / הלכתי
ผู้ชาย	גבר / זכר
ผู้หญิง	אישה / נקבה
ฝึก	להתאמן, לתרגל
พวกเขา	הם
พ่อแม่	הורים
พักผ่อน	לנוח
เพราะ	כי / בגלל
เพื่อ	כדי / בשביל
ภาษา	שפה
ภูเขา	הר
ภูมิใจ	גאה
มะพร้าว	קוקוס
มะม่วง	מנגו
มั่นใจ	בטוח בעצמי
ม้า	סוס
มาครับ	באתי / אני בא (זכר מנומס)
โมโห	עצבני
ไม่	לא
ไม่ได้…	לא עשיתי
ไม่รู้	לא יודע
ไม่ใส่	בלי / לא לשים
ไม่เอา	לא רוצה
ยินดี	ברוך הבא
ยี่สิบ	עשרים
รถไฟ	רכבת
รถเมล์	אוטובוס
ร้องไห้	לבכות
รักษา	לרפא, לטפל
รำคาญ	מעצבן
รู้	לדעת
รู้จัก	להכיר (אנשים/מקומות)
รู้สึก	להרגיש
เรือบิน	מטוס
โรงพัก	תחנת משטרה
โรงเรียน	בית ספר
ลาก่อน	להתראות
ลืม	לשכוח
วันเกิด	יום הולדת
เวลา	זמן
สงสัย	לתהות, לחשוד
สนใจ	להתעניין
สมอง	מוח
สมัคร	להירשם, להגיש מועמדות
สิบเอ็ด	אחת עשרה
เสียใจ	עצוב
เสียดาย	חבל / בזבוז
หน้าต่าง	חלון
หน้าฝน	עונת הגשמים
หน้าร้อน	העונה החמה
หน้าหนาว	העונה הקרה
หมู่	קבוצה / כפר / חבורה
หวัง	לקוות
หวี	אשכול/יחידת בננות; מסרק
ห้องครัว	מטבח
ห้า	חמש
หิวน้ำ	צמא
เหงื่อออก	להזיע
ให้	לתת / בשביל
ใหม่	חדש
อย่ารอ	אל תחכה
อร่อย	טעים
อ้วน	שמן (גוף)
อาการ	תסמין, מצב רפואי
อากาศ	מזג אוויר
อาจ	אולי / עשוי
อ่าน	לקרוא
อารมณ์	מצב רוח / רגש
อิจฉา	לקנא

## רמה 4
การเมือง	פוליטיקה
ขนมปัง	לחם
ข้อมูล	מידע, נתונים
ข้าม	לדלג / לחצות
ข้าวเหนียวมะม่วง	סטיקי רייס מנגו
เข้าใจ	להבין
เข้าใจแล้ว	הבנתי כבר
แข็งแรง	חזק, בריא
ความคิดเห็น	דעה
ความจริง	אמת
ความรู้สึก	הרגשה, תחושה
ความหมาย	משמעות
ความอดทน	סבלנות
เครียด	לחוץ, במתח
เงินเดือน	משכורת
จักรยาน	אופניים
จำเป็น	הכרחי / נחוץ
ฉันชื่อ…	השם שלי הוא...
ดังนั้น	לפיכך, אם כך
เดิน	ללכת / לצעוד
ตอนกลางคืน	לילה
ตอนเช้า	בבוקר
ตอนดึก	מאוחר בלילה
ตอนเที่ยง	בצהריים
ตอนเที่ยงคืน	בחצות / בלילה
ตอนบ่าย	אחר הצהריים
ตอนเย็น	בערב
ตอนสาย	מאוחר בבוקר
ตัดสินใจ	להחליט
ตัวอย่าง	דוגמה
